Asset ID,Product ID,Advisor ID,Date,Share Class,Sales AM,NAV, Transaction Amount ,Transaction ID,Type of Class,Market Value,cat,Classification,X0.01
a3de9f6f-d30c-4f36-8746-45d2759657dc,P002,SalA002,2024-12-12,Class C,Sales AM 1,134.1446339,-136660.6136,txn_00028,Redemption,-1833228797,Mild,Underwater Client,-136660.6136
da7c600d-0720-4b1e-ac25-4f738a4bb2c9,P004,SalA002,2024-12-01,Class A,Sales AM 1,103.1370649,-382146.6438,txn_00029,Redemption,-3941348319,Mild,Underwater Client,-382146.6438
cc9360bf-822b-4b2a-9376-aff7943f0696,P001,SalA009,2025-01-05,Class B,Sales AM 1,81.96505854,-84791.5916,txn_00002,Redemption,-694994776.9,Medium,Underwater Client,-84791.5916
63e7df21-f459-4ab5-9d03-b354f4c16266,P004,SalA002,2024-11-06,Class B,Sales AM 1,85.02265222,436294.2157,txn_00250,Purchase,3709489137,Severe,Underwater Client,436294.2157
082129f2-b9fa-44c8-901c-dabb5591c6b8,P003,SalA002,2024-09-16,Class A,Sales AM 1,95.32268984,103840.3919,txn_00452,Purchase,989834547.3,Severe,Underwater Client,103840.3919
4e5998c6-72d2-401a-a49b-8a41278eb617,P005,SalA002,2024-09-08,Class A,Sales AM 1,101.7307649,99488.03674,txn_00479,Purchase,1012099408,Severe,Underwater Client,99488.03674
bf5cb928-20f7-47ed-a9dc-69658bec6188,P004,SalA002,2024-08-27,Class A,Sales AM 1,102.1076274,162643.6402,txn_00513,Purchase,1660715622,Severe,Underwater Client,162643.6402
e6b5cc11-d457-4db3-8a51-d4d28a4dceed,P002,SalA034,2025-01-04,Class C,Sales AM 1,123.691454,141473.2987,txn_00007,Purchase,1749903802,,Healthy Client,141473.2987
f60a3d91-1dbd-45d5-9e89-dca2df75896c,P005,SalA039,2025-01-04,Class A,Sales AM 1,102.2809988,509115.2321,txn_00008,Purchase,5207281446,,Healthy Client,509115.2321
d59ae97b-b14a-480d-a64b-bbbabf0d9b6b,P003,SalA052,2025-01-04,Class C,Sales AM 1,130.9874294,441132.9752,txn_00009,Purchase,5778287446,,Healthy Client,441132.9752
3797b35a-c2c1-4532-b67d-5a864bec6105,P001,SalA009,2025-01-04,Class C,Sales AM 1,135.4755876,141678.1681,txn_00010,Purchase,1919393307,Medium,Underwater Client,141678.1681
3863cb9b-5fe4-466e-910e-a5be97bad76b,P002,SalA033,2025-01-04,Class A,Sales AM 1,90.62912794,116743.1768,txn_00011,Purchase,1058033231,,Healthy Client,116743.1768
45ceb603-f6e5-49e5-a8d0-f93dd05ef565,P004,SalA023,2025-01-03,Class B,Sales AM 1,83.56130903,-300776.907,txn_00012,Redemption,-2513331207,,Healthy Client,-300776.907
b73157fe-8ff1-4e87-a871-2d4901d431ac,P003,SalA002,2024-07-09,Class A,Sales AM 1,98.65740749,306369.0475,txn_00722,Purchase,3022557596,Severe,Underwater Client,306369.0475
decb49ba-f5fe-4b67-b66d-296742a4fb66,P003,SalA002,2024-06-25,Class A,Sales AM 1,102.562954,409220.577,txn_00791,Purchase,4197087120,Severe,Underwater Client,409220.577
312805e4-6255-4762-8654-fe14a9b5c53b,P003,SalA002,2024-06-22,Class C,Sales AM 1,134.6925395,-544385.4039,txn_00801,Redemption,-7332465252,Severe,Underwater Client,-544385.4039
0a6dafaa-2c0b-4a00-ad7d-2bafbeabdb46,P001,SalA002,2024-06-03,Class B,Sales AM 1,86.18327921,-303470.5653,txn_00869,Redemption,-2615408846,Severe,Underwater Client,-303470.5653
8bd8eff3-f5b6-4160-bd6e-41015f6d03ce,P004,SalA041,2025-01-03,Class A,Sales AM 1,103.4223403,316545.5871,txn_00017,Purchase,3273788544,,Healthy Client,316545.5871
