Activity ID,Activity Date,Advisor ID,Lead AM,Activity Type,Description,Product
e2b66cb8-6077-4411-a04e-eee0aad3c8cb,2024-08-10,SalA001,Sales AM 1,Email,Discussion on upcoming product launches,ETF
c3968e63-d44d-4123-9194-b914c727726e,2024-09-08,SalA001,Sales AM 1,Email,Webinar feedback collection,ESG
63243180-c136-49b1-b294-233f8eced973,2024-12-19,SalA001,Sales AM 1,Voicemail,Strategy meeting regarding Global Equity,ETF
2b01da74-8ec9-4fee-b718-03d66c7840f3,2024-09-23,SalA001,Sales AM 1,Inbound Call,Discussion on upcoming product launches,ESG
e8e7666a-7955-4b1e-a99a-cad676859f81,2024-09-17,SalA001,Sales AM 1,Inbound Call,Normal phone conversation,Global Equity Fund
9dee4cdb-a13f-4f4a-839d-020899859504,2024-11-01,SalA001,Sales AM 1,Meeting,Discussion on ESG strategies,Global Equity Fund
5052b5f3-d9ad-4d31-ad9a-4949f243ea3a,2024-07-28,SalA001,Sales AM 1,Voicemail,Discussion on upcoming product launches,Global Equity Fund
127b8b98-d7ab-487e-ac81-dbe142d41210,2024-12-11,SalA001,Sales AM 1,Inbound Call,Discussion on upcoming product launches,ETF
c6d7b7e8-66d9-4501-a01a-1e10b21f296a,2024-08-19,SalA001,Sales AM 1,Voicemail,Call to discuss portfolio diversification,Global Equity Fund
1f87403c-052d-4b55-a350-c8ed9d08fad4,2024-12-25,SalA001,Sales AM 1,Meeting,Strategy meeting regarding Global Equity,ETF
44779b9d-a76e-4616-a177-484192676bcc,2024-09-25,SalA001,Sales AM 1,Voicemail,Strategy meeting regarding Global Equity,Fixed Income
a65595e8-c35b-4a14-889a-57278523fd2c,2024-08-27,SalA002,Sales AM 1,Email,Meeting related to ETF,ETF
094ac58d-b183-4fed-a277-78ec6c86b5b7,2024-06-13,SalA002,Sales AM 1,Outbound Call,Discussion on upcoming product launches,ETF
b4ac9968-c3f8-4815-ab64-543d0b90a7e1,2024-06-02,SalA002,Sales AM 1,Inbound Call,Voicemail regarding market trends,ETF
75395200-9b03-4440-8721-4689143a5edf,2025-01-05,SalA002,Sales AM 1,Meeting,Meeting on sustainable investment,ESG
8efc5cf4-76f5-4219-a09e-bee74fcc63d5,2024-06-17,SalA002,Sales AM 1,Inbound Call,Discussion on upcoming product launches,Real Estate Fund
533aef76-e8d8-492b-a04f-cdda96241179,2024-06-07,SalA002,Sales AM 1,Outbound Call,Meeting related to ETF,Fixed Income
d14c1bcd-4a56-46f6-8df9-64ae6b799612,2024-10-11,SalA002,Sales AM 1,Meeting,Follow-up on Fixed Income opportunities,ETF
cdddb7c7-7b66-4933-a149-e6643ca247c1,2024-12-26,SalA002,Sales AM 1,Outbound Call,Discussion on upcoming product launches,Fixed Income
59d95ceb-4a98-492a-9679-778035a2b845,2024-06-27,SalA002,Sales AM 1,Meeting,Email follow-up on investment ideas,Real Estate Fund
828a7775-5ae8-442a-bf9c-33459ea07e01,2024-10-28,SalA002,Sales AM 1,Email,Discussion on upcoming product launches,Fixed Income
f525ff0a-a5d6-4897-8244-9da30439c73e,2024-07-23,SalA002,Sales AM 1,Inbound Call,Voicemail regarding market trends,ETF
f1faca29-c053-4b4b-886f-df6f01bd23de,2024-12-20,SalA002,Sales AM 1,Inbound Call,Call to discuss portfolio diversification,Global Equity Fund
eb2f15f0-0c10-40d2-a97a-59f55d830b3e,2024-06-17,SalA002,Sales AM 1,Outbound Call,Call to discuss quarterly performance,ETF
d3e823b8-77d1-475d-86fe-6bbbae942b8c,2024-07-31,SalA002,Sales AM 1,Meeting,Presentation on Real Estate Fund,Fixed Income
84bdbb86-ac30-4447-a1d6-c01364c8717a,2024-11-07,SalA002,Sales AM 1,Outbound Call,Analysis of Emerging Markets Fund,ESG
daf036a2-bf7c-4c41-85e0-578a7d681d27,2024-11-25,SalA002,Sales AM 1,Voicemail,Presentation on Real Estate Fund,Global Equity Fund
512e47b0-2f9d-476b-967a-6d3884e480b5,2024-11-07,SalA003,Sales AM 1,Meeting,Call to discuss quarterly performance,ETF
9df27e59-56b8-454b-8777-0bca5bf607ee,2024-07-31,SalA003,Sales AM 1,Outbound Call,Call to discuss quarterly performance,ESG
9e8d0864-e43c-4958-91a2-4a80101cecac,2025-01-06,SalA003,Sales AM 1,Outbound Call,Call to discuss quarterly performance,ESG
74b417ca-6446-41c4-868c-227ee4cc81f4,2024-07-09,SalA003,Sales AM 1,Outbound Call,Strategy meeting regarding Global Equity,Real Estate Fund
d408d2fd-443e-44e9-8884-f13a28027db1,2024-08-05,SalA003,Sales AM 1,Meeting,Follow-up on Fixed Income opportunities,Fixed Income
65d044f4-c8fc-46a5-9851-9ca8345681c4,2024-06-28,SalA003,Sales AM 1,Voicemail,Analysis of Emerging Markets Fund,ETF
0dfc9072-d61e-4618-90c8-6a54be4876f7,2024-11-17,SalA003,Sales AM 1,Inbound Call,Discussion on ESG strategies,ETF
dbbc42b1-edc7-486e-b8d9-c08e9d854a41,2024-10-17,SalA003,Sales AM 1,Outbound Call,Email follow-up on investment ideas,ETF
7a3769e0-9ab4-491a-b622-8c148631aa1c,2024-11-17,SalA003,Sales AM 1,Email,Discussion on ESG strategies,ETF
2a26f116-2d2c-401c-a924-b935b5cadfc6,2024-08-15,SalA003,Sales AM 1,Outbound Call,Call to discuss quarterly performance,Fixed Income
08c71a39-1f9c-4799-891f-b62ed052593f,2024-09-23,SalA003,Sales AM 1,Email,Presentation on Real Estate Fund,ESG
c4f056cf-f33b-49ca-9503-72a3b12558e8,2024-12-30,SalA003,Sales AM 1,Inbound Call,Discussion on ESG strategies,Global Equity Fund
2ca4d67d-9d4a-4bb3-b709-4863234368a4,2024-07-31,SalA003,Sales AM 1,Outbound Call,Presentation on Real Estate Fund,Global Equity Fund
64f49fd5-6deb-41cd-b602-838749ac21e3,2024-12-28,SalA003,Sales AM 1,Inbound Call,Call to discuss portfolio diversification,ESG
fc624066-ba00-4da8-aa4f-b334137c5326,2024-11-06,SalA003,Sales AM 1,Outbound Call,Discussion on ESG strategies,Global Equity Fund
cb35f988-dfa2-410a-9421-51cb4cb4102f,2024-07-05,SalA003,Sales AM 1,Email,Voicemail regarding market trends,ETF
401ddc39-9b90-4385-b17e-a74777adc149,2024-10-12,SalA003,Sales AM 1,Inbound Call,Webinar feedback collection,ETF
73c4a55b-e5c8-4526-944c-a7f34631a5b2,2024-08-31,SalA003,Sales AM 1,Outbound Call,Call to discuss portfolio diversification,ESG
fbef967f-2f47-4a68-8681-3ecce4dce9b9,2024-12-27,SalA003,Sales AM 1,Meeting,Discussion on ESG strategies,Global Equity Fund
aa4d8ce3-2795-4a3e-9001-9707b6bb835a,2024-09-19,SalA003,Sales AM 1,Outbound Call,Discussion on ESG strategies,ETF
e711a5c1-8ab1-4841-8d9f-fc81cb86d74e,2024-11-21,SalA003,Sales AM 1,Inbound Call,Discussion on upcoming product launches,Global Equity Fund
0fd69c92-bb37-433d-a5a6-35c2b2a9574f,2024-10-29,SalA003,Sales AM 1,Email,Meeting related to ETF,ETF
